Subject,Sender,Body,Label
Important notice: Update your credentials,alerts@fraud-detection.com,You have won a lucky draw! Claim your prize here.,1
Your delivery is scheduled,info@officialnews.com,Your monthly statement is attached. Let us know if you have questions.,0
Invoice for your recent purchase,support@subscription.com,Your subscription has been successfully renewed,0
Suspicious login detected on your account,security@facebook-help.com,Exclusive offer: Redeem your coupon before it expires!,1
Suspicious login detected on your account,account@amazon-verification.com,We've detected unauthorized access. Reset your password now!,1
Security update: New features available,support@subscription.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
We appreciate your feedback!,info@officialnews.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Welcome to our service!,updates@official-source.com,Your order has been shipped. Track your package here.,0
Unusual activity detected on your account,accounts@secure-login.com,Security alert: Your password has been compromised,1
Invoice for your recent purchase,service@trusted-payment.com,Friendly reminder: Your account is in good standing,0
Team meeting scheduled for tomorrow,alerts@finance-notice.com,Reminder: Your service plan has been renewed successfully.,0
Payment failed: Update your billing details,service@banking-alert.com,Suspicious login detected: Secure your account now!,1
Claim your free gift card today!,urgent@finance-support.com,Congratulations! You're eligible for a special discount,1
Your PayPal account has been suspended,service@banking-alert.com,Get exclusive VIP benefits now!,1
Your delivery is scheduled,security@facebook.com,Your invoice for this month's subscription is available in your dashboard.,0
Congratulations! You have won a prize!,no-reply@payment-failure.com,We've detected unauthorized access. Reset your password now!,1
Your delivery is scheduled,service@trusted-payment.com,Important: Policy changes you should be aware of.,0
Important notice: Update your credentials,account@amazon-verification.com,Your package delivery failed. Confirm your address.,1
Account activity summary available,team@corporate-mail.com,Your order has been shipped. Track your package here.,0
Thank you for your recent purchase,team@corporate-mail.com,Your order has been shipped. Track your package here.,0
Your password will expire soon!,lottery@big-win.com,Click the link below to verify your account immediately!,1
Account security breach detected,account@amazon-verification.com,Your account has been locked. Click below to restore access.,1
Account activity summary available,team@corporate-mail.com,Friendly reminder: Your account is in good standing,0
Limited-time offer! Claim your bonus now,verification@secure-portal.com,Your account has been locked. Click below to restore access.,1
Unauthorized access attempt detected,admin@paypal-security.com,We've detected unauthorized access. Reset your password now!,1
Welcome to our service!,notification@banking-updates.com,Thanks for signing up! Here are some useful resources to get started.,0
Meeting rescheduled to next week,care@verified-service.com,We have received your support request,0
Important security notice for your account,admin@paypal.com,We've updated our security features. No action is required on your part.,0
Suspicious login detected on your account,security@facebook-help.com,Your payment has been declined. Confirm your details.,1
We appreciate your feedback!,notification@banking-updates.com,Your invoice for this month's subscription is available in your dashboard.,0
Billing confirmation for your service,care@verified-service.com,Important: Policy changes you should be aware of.,0
Unauthorized access attempt detected,info@claim-reward.com,Click the link below to verify your account immediately!,1
Account security breach detected,security@facebook-help.com,Your package delivery failed. Confirm your address.,1
Security update: New features available,admin@paypal.com,Your feedback is important to us. Participate in our survey!,0
Subscription renewal confirmation,no-reply@billing.com,Join us for our upcoming webinar. Click here to register.,0
Account security breach detected,service@banking-alert.com,Your account will be suspended if no action is taken within 24 hours.,1
Important notice: Update your credentials,accounts@secure-login.com,Suspicious login detected: Secure your account now!,1
Security update: New features available,contact@customer-support.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Confirm your identity to prevent deactivation,admin@paypal-security.com,Your account will be suspended if no action is taken within 24 hours.,1
Thank you for your recent purchase,security@facebook.com,Automatic bill payment confirmation,0
Important notice: Update your credentials,support@secure-b4nk.com,Your package delivery failed. Confirm your address.,1
We appreciate your feedback!,contact@customer-support.com,We've updated our security features. No action is required on your part.,0
Team meeting scheduled for tomorrow,updates@official-source.com,Your invoice for this month's subscription is available in your dashboard.,0
Account security breach detected,verification@secure-portal.com,Your payment has been declined. Confirm your details.,1
New security alert: Immediate action required,lottery@big-win.com,Your payment has been declined. Confirm your details.,1
Urgent! Verify your account now,admin@paypal-security.com,Security alert: Your password has been compromised,1
Payment failed: Update your billing details,verification@secure-portal.com,Congratulations! You're eligible for a special discount,1
